"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A4: after DELETE /pet/{id}, a subsequent GET returns 404.","14","test_delete_pet_then_get_returns_404","api.tests","2026-08-09","passed","2026-08-09","","test_pet_api","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","5333","test_valid_user_types_reach_inventory[webkit-performance_glitch_user]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"R2: selecting a name sort reorders products alphabetically.","77","test_inventory_sorted_by_name[firefox-z_to_a]","ui.tests","2026-08-09","passed","2026-08-09","","test_inventory","",""
"R4: on the overview page, item subtotal + tax must equal grand total.","421","test_checkout_summary_math_is_correct[firefox]","ui.tests","2026-08-09","passed","2026-08-09","","test_checkout","",""
"R2: selecting a name sort reorders products alphabetically.","33","test_inventory_sorted_by_name[chromium-a_to_z]","ui.tests","2026-08-09","passed","2026-08-09","","test_inventory","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","5347","test_valid_user_types_reach_inventory[firefox-performance_glitch_user]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"R5: 'Continue Shopping' returns to inventory with cart intact.","287","test_continue_shopping_returns_to_inventory_preserving_cart[webkit]","ui.tests","2026-08-09","passed","2026-08-09","","test_cart","",""
"R2: selecting a name sort reorders products alphabetically.","52","test_inventory_sorted_by_name[firefox-a_to_z]","ui.tests","2026-08-09","passed","2026-08-09","","test_inventory","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","646","test_valid_user_types_reach_inventory[firefox-standard_user]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"For `error_user`, the Last Name field on Checkout Step One rejects keyboard input This is the expected test. The day SauceDemo fixes the bug, the test will XPASS, which is our signal to remove the xfail marker and promote it to a normal passing test.","360","test_error_user_can_type_last_name_at_checkout[chromium]","ui.tests","2026-08-09","skipped","2026-08-09","","test_checkout","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","679","test_valid_user_types_reach_inventory[firefox-problem_user]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","248","test_valid_user_types_reach_inventory[chromium-standard_user]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"R1: selecting a price sort reorders products correctly.
    ","32","test_inventory_sorted_by_price[chromium-high_to_low]","ui.tests","2026-08-09","passed","2026-08-09","","test_inventory","",""
"N2: locked_out_user credentials → account locked error message.","228","test_locked_out_user_sees_lockout_error[chromium]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"S1: valid login navigates to /inventory.html with 6 products.","262","test_standard_user_login_lands_on_inventory[chromium]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"P2: performance_glitch_user — inventory page should load within 10s.
    ","5383","test_performance_glitch_user_loads_inventory_within_limit[webkit]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"R3: add three products, remove one on the cart page, verify survivors.","667","test_remove_one_item_from_cart_updates_state[webkit]","ui.tests","2026-08-09","passed","2026-08-09","","test_cart","",""
"A5: GET /pet/findByStatus?status=available returns available pets.","9","test_find_by_status_available_returns_available_pets","api.tests","2026-08-09","passed","2026-08-09","","test_pet_api","",""
"A1: POST /pet returns 200 and the response echoes id, name, status.","115","test_create_pet_returns_200_and_echoes_body","api.tests","2026-08-09","passed","2026-08-09","","test_pet_api","",""
"N3: SauceDemo validates required fields one at a time, in order.","254","test_checkout_step_one_empty_fields_show_validation_errors[chromium]","ui.tests","2026-08-09","passed","2026-08-09","","test_checkout","",""
"S4: hamburger menu → Logout → user lands back on login page.","1168","test_logout_returns_to_login_page[chromium]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"R1: selecting a price sort reorders products correctly.
    ","81","test_inventory_sorted_by_price[firefox-low_to_high]","ui.tests","2026-08-09","passed","2026-08-09","","test_inventory","",""
"R5: 'Continue Shopping' returns to inventory with cart intact.","293","test_continue_shopping_returns_to_inventory_preserving_cart[firefox]","ui.tests","2026-08-09","passed","2026-08-09","","test_cart","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","349","test_valid_user_types_reach_inventory[firefox-visual_user]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
"A3: PUT /pet updates an existing pet's name and status.","8","test_update_pet_changes_name_and_status","api.tests","2026-08-09","passed","2026-08-09","","test_pet_api","",""
"R2: selecting a name sort reorders products alphabetically.","47","test_inventory_sorted_by_name[webkit-z_to_a]","ui.tests","2026-08-09","passed","2026-08-09","","test_inventory","",""
"A6: GET /pet/{bogus_id} for a non-existent pet returns 404.","13","test_get_nonexistent_pet_returns_404","api.tests","2026-08-09","passed","2026-08-09","","test_pet_api","",""
"R4: on the overview page, item subtotal + tax must equal grand total.","344","test_checkout_summary_math_is_correct[webkit]","ui.tests","2026-08-09","passed","2026-08-09","","test_checkout","",""
"P1: standard_user, problem_user, performance_glitch_user, visual_user
all successfully log in and reach inventory.
","291","test_valid_user_types_reach_inventory[chromium-visual_user]","ui.tests","2026-08-09","passed","2026-08-09","","test_login","",""
